city,state_id,state_name,Low_Confidence_Limit,Data_Value,health_bad,High_Confidence_Limit,PopulationCount,density,state_name.1,ALand,AWater,Median,Stdev,Name,Type,Location,Specialty,Contact
Abilene,TX,Texas,13.74102564,15.05384615,1,16.34615385,9004.692308,446,Texas,5132188.384615385,15953.923076923076,79425.53846153847,38462.769230769234,Houston Mindfulness Group,Support Group,Texas,Mindfulness & Relaxation,1-555-8765
Abilene,TX,Texas,13.74102564,15.05384615,1,16.34615385,9004.692308,446,Texas,5132188.384615385,15953.923076923076,79425.53846153847,38462.769230769234,Texas Anxiety Relief Helpline,Helpline,Texas,Anxiety & Stress,1-800-222-3333
Abilene,TX,Texas,13.74102564,15.05384615,1,16.34615385,9004.692308,446,Texas,5132188.384615385,15953.923076923076,79425.53846153847,38462.769230769234,Texas Teen Support Network,Helpline,Texas,Youth Counseling,1-555-9876
Abilene,TX,Texas,13.74102564,15.05384615,1,16.34615385,9004.692308,446,Texas,5132188.384615385,15953.923076923076,79425.53846153847,38462.769230769234,Houston Women's Support,Support Group,Texas,Women's Health Counseling,1-555-8888
Akron,OH,Ohio,15.93382353,17.22794118,1,18.56470588,8784.176471,1231,Ohio,5736326.685714286,193270.11428571428,50195.68571428571,38406.74285714285,Cleveland Grief and Loss,In-Person Therapy,Ohio,Grief Counseling,1-555-8765
Alameda,CA,California,9.211111111,10.08333333,0,11.03333333,12302.0,2868,California,1308178.875,424237.5,72782.25,71335.125,Los Angeles Community Therapy,In-Person Therapy,California,Family Therapy,1-555-5678
Alameda,CA,California,9.211111111,10.08333333,0,11.03333333,12302.0,2868,California,1308178.875,424237.5,72782.25,71335.125,San Francisco LGBTQ+ Support,Support Group,California,LGBTQ+ Counseling,1-555-7894
Alameda,CA,California,9.211111111,10.08333333,0,11.03333333,12302.0,2868,California,1308178.875,424237.5,72782.25,71335.125,Safe Voices for Women,Support Group,California,Domestic Violence Counseling,1-555-1234
Alameda,CA,California,9.211111111,10.08333333,0,11.03333333,12302.0,2868,California,1308178.875,424237.5,72782.25,71335.125,San Diego Family Therapy Center,In-Person Therapy,California,Family Counseling,1-555-4444
Albany,GA,Georgia,14.45636364,15.96181818,1,17.50909091,9561.272727,505,Georgia,49399136.07692308,718454.2307692308,54255.46153846154,40806.61538461538,Georgia Family Therapy Center,In-Person Therapy,Georgia,Family Counseling,1-555-5432
Albany,GA,Georgia,14.45636364,15.96181818,1,17.50909091,9561.272727,505,Georgia,49399136.07692308,718454.2307692308,54255.46153846154,40806.61538461538,Georgia Domestic Violence Support,Support Group,Georgia,Domestic Violence,1-555-6666
Albuquerque,NM,New Mexico,12.92086331,14.15323741,1,15.42517986,11780.61151,1155,New Mexico,32521124.525423728,100125.61016949153,97945.81355932204,46159.627118644064,New Mexico Healing Center,In-Person Therapy,New Mexico,Trauma & Grief,1-555-2345
Alexandria,VA,Virginia,9.555,10.5525,0,11.76,10497.45,4121,Virginia,2610179.5,133594.5,149468.9375,60584.5625,Mental Health America,Support Group,Virginia,General Counseling,1-703-684-7722
Alexandria,VA,Virginia,9.555,10.5525,0,11.76,10497.45,4121,Virginia,2610179.5,133594.5,149468.9375,60584.5625,Virginia Eating Disorder Helpline,Helpline,Virginia,Eating Disorders,1-555-9876
Allentown,PA,Pennsylvania,16.38571429,17.65357143,1,18.96785714,12646.28571,2672,Pennsylvania,2536574.1428571427,68691.0,40375.642857142855,42076.92857142857,Philadelphia Teen Support,Helpline,Pennsylvania,Teen Counseling,1-800-333-4444
Allentown,PA,Pennsylvania,16.38571429,17.65357143,1,18.96785714,12646.28571,2672,Pennsylvania,2536574.1428571427,68691.0,40375.642857142855,42076.92857142857,Pennsylvania PTSD Helpline,Helpline,Pennsylvania,PTSD & Trauma,1-555-6540
Anchorage,AK,Alaska,10.54035088,11.52982456,0,12.5754386,15359.26316,65,Alaska,23912688.48,11346830.4,156128.44,55792.68,Alaska Mental Health Support,Helpline,Alaska,General Counseling,1-800-654-8765
Ann Arbor,MI,Michigan,10.82857143,12.31142857,0,13.84857143,9765.4,1659,Michigan,6344993.4375,133702.0,174064.75,68927.1875,Michigan Depression Hotline,Helpline,Michigan,Depression Support,1-800-123-4567
Appleton,WI,Wisconsin,10.88076923,12.12307692,0,13.44230769,8378.692308,1156,Wisconsin,11476426.909090908,79527.27272727272,62299.72727272727,48297.36363636364,,,,,
Arlington Heights,IL,Illinois,8.704166667,9.775,0,10.98333333,9386.583333,1738,Illinois,2618964.0,0.0,145228.5,70290.5,Chicago Resilience Clinic,In-Person Therapy,Illinois,Trauma Recovery,1-555-7890
Arlington Heights,IL,Illinois,8.704166667,9.775,0,10.98333333,9386.583333,1738,Illinois,2618964.0,0.0,145228.5,70290.5,Chicago Addiction Recovery,In-Person Therapy,Illinois,Addiction Support,1-555-3333
Arvada,CO,Colorado,9.925714286,11.12285714,0,12.36571429,9121.885714,1207,Colorado,10478312.0,217043.41666666663,80163.0,50670.0,Denver Mental Health Resources,In-Person Therapy,Colorado,General Counseling,1-555-9876
Arvada,CO,Colorado,9.925714286,11.12285714,0,12.36571429,9121.885714,1207,Colorado,10478312.0,217043.41666666663,80163.0,50670.0,Denver Youth Helpline,Helpline,Colorado,Youth Counseling,1-555-0000
Asheville,NC,North Carolina,11.31935484,12.64193548,0,14.02903226,8067.903226,786,North Carolina,9376233.5,93576.5,95030.6,47883.0,North Carolina Support Group,Support Group,North Carolina,Addiction Recovery,1-800-654-3210
Asheville,NC,North Carolina,11.31935484,12.64193548,0,14.02903226,8067.903226,786,North Carolina,9376233.5,93576.5,95030.6,47883.0,North Carolina PTSD Group,Support Group,North Carolina,PTSD Counseling,1-555-5555
Auburn,WA,Washington,13.4047619,14.59047619,1,15.79047619,10025.2381,1063,Washington,7590425.0,112615.9,110401.5,46826.1,Seattle Grief Support,Support Group,Washington,Grief Counseling,1-555-1122
Auburn,WA,Washington,13.4047619,14.59047619,1,15.79047619,10025.2381,1063,Washington,7590425.0,112615.9,110401.5,46826.1,Seattle LGBTQ+ Support Center,Support Group,Washington,LGBTQ+ Counseling,1-555-2222
Avondale,AZ,Arizona,13.09130435,14.15652174,1,15.25217391,9943.086957,750,Arizona,2487270.5,20106.25,54213.0,38149.75,Phoenix Community Health,In-Person Therapy,Arizona,Substance Abuse,1-800-777-8888
Avondale,AZ,Arizona,13.09130435,14.15652174,1,15.25217391,9943.086957,750,Arizona,2487270.5,20106.25,54213.0,38149.75,Arizona Crisis Line,Helpline,Arizona,Crisis Intervention,1-555-9999
Baltimore,MD,Maryland,14.70746269,16.28159204,1,17.94079602,9267.965174,2830,Maryland,2264184.170212766,314055.90070921986,63328.29787234042,46122.0780141844,Baltimore Trauma Group,Support Group,Maryland,Trauma Recovery,1-555-5674
